ř - [0x0000000180][0x0000000104]  /rcaron 
Ś - [0x0000000181][0x0000000061]  /Sacute 
ś - [0x0000000182][0x0000000107]  /sacute 
Ŝ - [0x0000000183][0x0000000064]  /Scircumflex 
ŝ - [0x0000000184][0x000000010A]  /scircumflex 
Ş - [0x0000000185][0x0000000063]  /Scedilla 
ş - [0x0000000186][0x0000000109]  /scedilla 
Š - [0x0000000187][0x0000000062]  /Scaron 
š - [0x0000000188][0x0000000108]  /scaron 
Ţ - [0x0000000189][0x000000006A]  /uni0162 
ţ - [0x000000018A][0x0000000111]  /uni0163 
Ť - [0x000000018B][0x0000000069]  /Tcaron 
ť - [0x000000018C][0x0000000110]  /tcaron 
Ŧ - [0x000000018D][0x0000000068]  /Tbar 
ŧ - [0x000000018E][0x000000010E]  /tbar 
Ũ - [0x0000000190][0x0000000077]  /Utilde 
ũ - [0x0000000191][0x000000011D]  /utilde 
Ū - [0x0000000192][0x0000000074]  /Umacron 
ū - [0x0000000193][0x000000011A]  /umacron 
Ŭ - [0x0000000194][0x000000006E]  /Ubreve 
ŭ - [0x0000000195][0x0000000115]  /ubreve 
Ů - [0x0000000196][0x0000000076]  /Uring 
ů - [0x0000000197][0x000000011C]  /uring 
Ű - [0x0000000198][0x0000000073]  /Uhungarumlaut 
ű - [0x0000000199][0x0000000119]  /uhungarumlaut 
Ų - [0x000000019A][0x0000000075]  /Uogonek 
ų - [0x000000019B][0x000000011B]  /uogonek 
Ŵ - [0x000000019C][0x000000007B]  /Wcircumflex 
ŵ - [0x000000019D][0x0000000122]  /wcircumflex 
Ŷ - [0x000000019E][0x0000000082]  /Ycircumflex 
ŷ - [0x00000001A0][0x0000000128]  /ycircumflex 
Ÿ - [0x00000001A1][0x0000000083]  /Ydieresis 
Ź - [0x00000001A2][0x0000000086]  /Zacute 
ź - [0x00000001A3][0x000000012C]  /zacute 
Ż - [0x00000001A4][0x0000000088]  /Zdotaccent 
ż - [0x00000001A5][0x000000012E]  /zdotaccent 
Ž - [0x00000001A6][0x0000000087]  /Zcaron 
ž - [0x00000001A7][0x000000012D]  /zcaron 
ƒ - [0x00000001BC][0x00000005AA]  /florin 
Ǽ - [0x000000023D][0x000000000C]  /AEacute 
ǽ - [0x000000023E][0x000000009E]  /aeacute 
Ǿ - [0x0000000240][0x0000000055]  /Oslashacute 
ǿ - [0x0000000241][0x00000000EB]  /oslashacute 
Ș - [0x000000025B][0x0000000065]  /uni0218 
ș - [0x000000025C][0x000000010B]  /uni0219 
Ț - [0x000000025D][0x000000006B]  /uni021A 
ț - [0x000000025E][0x0000000112]  /uni021B 
ȷ - [0x000000027C][0x00000000CD]  /uni0237 
ʹ - [0x0000000317][0x00000008D1]  /uni02B9 
ʺ - [0x0000000318][0x00000008D0]  /uni02BA 
ʼ - [0x000000031A][0x00000008CE]  /uni02BC 
ˆ - [0x0000000325][0x00000008B4]  /circumflex 
ˇ - [0x0000000326][0x00000008B6]  /caron 
ˉ - [0x0000000328][0x00000008B5]  /uni02C9 
˘ - [0x0000000338][0x00000008B7]  /breve 
˙ - [0x0000000339][0x00000008B0]  /dotaccent 
˚ - [0x000000033A][0x00000008B8]  /ring 
˛ - [0x000000033B][0x00000008BC]  /ogonek 
˜ - [0x000000033C][0x00000008B9]  /tilde 
˝ - [0x000000033D][0x00000008B3]  /hungarumlaut 
̀ - [0x0000000363][0x000000089C]  /gravecomb 
́ - [0x0000000364][0x000000089D]  /acutecomb 
̂ - [0x0000000365][0x00000008A0]  /uni0302 
̃ - [0x0000000366][0x00000008A4]  /tildecomb 
̄ - [0x0000000367][0x00000008A5]  /uni0304 
̅ - [0x0000000368][0x00000008A6]  /uni0305 
̆ - [0x0000000369][0x00000008A2]  /uni0306 
̇ - [0x000000036A][0x000000089B]  /uni0307 
̈ - [0x000000036B][0x000000089A]  /uni0308 
̊ - [0x000000036D][0x00000008A3]  /uni030A 
̋ - [0x000000036E][0x000000089E]  /uni030B 
̌ - [0x0000000370][0x00000008A1]  /uni030C 
̏ - [0x0000000373][0x00000008A7]  /uni030F 
̓ - [0x0000000377][0x00000008A8]  /uni0313 
̔ - [0x0000000378][0x00000008A9]  /uni0314 
̦ - [0x000000038B][0x00000008AA]  /uni0326 
̧ - [0x000000038C][0x00000008AB]  /uni0327 
̵ - [0x000000039B][0x00000008AC]  /strokeshortoverlay 
̶ - [0x000000039C][0x00000008AD]  /strokelongoverlay 
͂ - [0x00000003A9][0x0000000883]  /uni0342 
ͅ - [0x00000003AC][0x0000000884]  /uni0345 
Ͱ - [0x00000003DA][0x0000000317]  /uni0370 
ͱ - [0x00000003DB][0x00000003B8]  /uni0371 
Ͳ - [0x00000003DC][0x0000000318]  /uni0372 
ͳ - [0x00000003DD][0x00000003B9]  /uni0373 
ʹ - [0x00000003DE][0x00000005AB]  /uni0374 
͵ - [0x00000003E0][0x00000005AC]  /uni0375 
Ͷ - [0x00000003E1][0x0000000319]  /uni0376 
ͷ - [0x00000003E2][0x00000003BA]  /uni0377 
ͺ - [0x00000003E5][0x0000000464]  /uni037A 
ͻ - [0x00000003E6][0x00000003BB]  /reversedlunatesigmasymbol 
ͼ - [0x00000003E7][0x00000003BC]  /dottedlunatesigmasymbol 
ͽ - [0x00000003E8][0x00000003BD]  /reverseddottedlunatesigmasymbol 
; - [0x00000003E9][0x00000004DE]  /uni037E 
Ϳ - [0x00000003EA][0x00000002E3]  /Yotgreek 
΄ - [0x0000000400][0x0000000885]  /tonos 
΅ - [0x0000000401][0x0000000887]  /dieresistonos 
Ά - [0x0000000402][0x000000030D]  /Alphatonos 
· - [0x0000000403][0x00000004DD]  /anoteleia 
Έ - [0x0000000404][0x000000030E]  /Epsilontonos 
Ή - [0x0000000405][0x0000000310]  /Etatonos 
